1.html , Spring 2004 Women's Tennis Schedule,  Oct 18 (Sat) 09:00 AM, Patriot League Championship, Bethlehem Pa., Lehigh wins three titles,
1.html , Spring 2004 Women's Tennis Schedule,  Oct 25 (Sat), ITA Division I East Regional Championships, Blacksburg VA, Complete results,
1.html , Spring 2004 Women's Tennis Schedule,  Feb 6 (Fri) 03:00 PM, Rutgers, Bethlehem Pa., L, 2-5,
1.html , Spring 2004 Women's Tennis Schedule,  Feb 15 (Sun) 01:00 PM, Howard, Bethlehem Pa., W, 7-0,
1.html , Spring 2004 Women's Tennis Schedule,  Feb 15 (Sun) 04:00 PM, Stony Brook, Bethlehem Pa., W, 6-1,
1.html , Spring 2004 Women's Tennis Schedule,  Feb 21 (Sat) 01:00 PM, Towson, Bethlehem PA, W, 7-0,
1.html , Spring 2004 Women's Tennis Schedule,  Feb 21 (Sat) 03:00 PM, Seton Hall, Bethlehem Pa., W, 4-3,
1.html , Spring 2004 Women's Tennis Schedule,  Feb 28 (Sat) 11:00 AM, Delaware, Bethlehem Pa., W, 6-1,
1.html , Spring 2004 Women's Tennis Schedule,  Feb 29 (Sun) 02:00 PM, Drexel, Bethlehem Pa., W, 7-0,
1.html , Spring 2004 Women's Tennis Schedule,  Mar 7 (Sun) 12:00 PM, Florida Southern College, Florida Southern College FL, L, 3-4,
1.html , Spring 2004 Women's Tennis Schedule,  Mar 10 (Wed) 02:30 PM, Indianapolis University, Tampa University, W, 7-0,
1.html , Spring 2004 Women's Tennis Schedule,  Mar 12 (Fri) 12:30 PM, Eckerd, St. Petersburg Fla., W, 7-0,
1.html , Spring 2004 Women's Tennis Schedule,  Mar 16 (Tue) 01:30 PM, West Chester, Bethlehem Pa., W, 7-0,
1.html , Spring 2004 Women's Tennis Schedule,  Mar 20 (Sat), Bloomsburg, Bloomsburg Pa., Cancelled,
1.html , Spring 2004 Women's Tennis Schedule,  Mar 25 (Thu) 02:30 PM, Villanova, Villanova Pa., W, 6-1,
1.html , Spring 2004 Women's Tennis Schedule,  Mar 27 (Sat) 11:00 AM, American, Bethlehem PA, W, 5-2,
1.html , Spring 2004 Women's Tennis Schedule,  Apr 1 (Thu) 03:00 PM, Lafayette, Bethlehem Pa., W, 7-0,
1.html , Spring 2004 Women's Tennis Schedule,  Apr 7 (Wed) 03:30 PM, Bucknell, Lewisburg Pa., L, 3-4,
1.html , Spring 2004 Women's Tennis Schedule,  Apr 10 (Sat) 02:00 PM, Colgate, Hamilton NY, W, 4-3,
1.html , Spring 2004 Women's Tennis Schedule,  Apr 14 (Wed) 03:00 PM, Army, Bethlehem Pa., L, 1-6,
1.html , Spring 2004 Women's Tennis Schedule,  Apr 17 (Sat) 02:00 PM, American, West Point NY, L, 0-4,
2.html , Winter 2010-2011 Women's Basketball Schedule,  Nov 12 (Fri) 8:00:00 PM, Duquesne, Pittsburgh Pa., L, 65-70,
